review,sentiment
low budget mostly no name actor campy horror flick supposed type movie kept edge seat kid staying late watch cable liked horror scene movie,0
showtime fall somewhere north critic saying little south expected month ago first heard eddie murphy robert di niro teaming comedy overall pretty good real life crime cop go plot matter pretty illogical duh comedy also special effect chase aerial shot skyscraper blowing present lower key schwartzenegger movie found bit tiresome overdone sensibility aside pyrotechno hypereffect stuff getting really old past year seemed lame substitute characterization story engaging emotion hope lesser quantity showtime indicator trend hollywood trend downwards less use silly less use exploding buildingbr br di niro murphy two favorite screen presence charisma even character depth joy behold many year cant dismissed engaging actor entertaining appealing movie cant put finger perhaps explosion excessive fx diminished final product perhaps perhaps something else combination factor give one sense movie didnt achieve highest potential whatever showtime entertaining probably buy dvd come vibe nonetheless wasnt could least not hoped forbr br good movie not great movie gave,0
like mel brook comedy men tights hilarious seeing outrageous comedy think many fail realize reason movie funny character acted well elwes wellspoken former british noble lewis eternally annoyed king hope worth nooooooiiiise deluise fantastic godfather roger rees worried cynical sheriff actor actress loyal part joke flow forth ease yes weve seen kind comedy comedy achieve better character development opinion big lebowski funny,0
dont understand movie released looked like something show mate borrowed mum handycam bought australian work video store uk thought aussie film made store cant bad boy wrongbr br anyone writes good comment movie either lying maker filmbr br picture bad sound horrible acting oh acting worst acting history film br br make embarrassed offended used word aussie title proud australian movie seen country may give people wrong ideabr br please anyone read seen movie take time find aussie movie watch could choose one would better onebr br could made better film took camera filmed hour ate film waited pas body threw came television no offencebr br not watch film,1
bottomofthebarrel stinker bad beyond funny plot american mercenary played reb brown film he called military adviser not really clear he american military not helping army latinamerican country fight guerrilla wind joining guerrilla government turn imprisons torture shannon tweed sport equipment saleswoman pick bar get caught intrigue description actually make movie sound better really stinker almost biblical proportion bad well shannon tweed turn movie professional acting job isnt indication thrate piece junk turkey nothing mismatched sound effect music score sound like zgrade horror flick may well footage ie armored personnel carrier going jungle trail reused constantly ineptly staged action scene recent memory laughaminute sludgefest seen disbelieved tweed look bored brown look hung time thing finishedif last long couldntyoull know feelbr br although lot explosion gunfight cant considered action picture stretch imagination boring there scene back truck everybody stare three four minute repetitive rebel soldier killed illogical group rebel caught open field government helicopter gunship instead breaking cover stand staring inept soldier rebel falling dead no gunshot heard gun battle inside house combatant standing wall machinegunned miraculously wall escape undamaged predictable governor say offer reward brown capture someone might turn know exactly someone turn exactly thought downright stupid pretty much everything else picture inept brainless stupid beyond belief dont waste time,1
jon cryer reprises role neurotic guy two half men perfected series longs good relationship girl like coworker developed tetatet partner girlfriend best friend pretty funny realize theyre attracted start dating one funniest line tv ever think final episode partner discussing want propose girl br br partner prepares moment suggesting whats worst happen say nobr br armed newfound optimism proposes date dinner reply br br god nobr br laughed hard cried,0
shame movie rated pg really quite suitable anyonethough young kid might not follow wellbr br belongs wonderful genre seriocomic ghostangel story would include everything capra wonderful life wenderss wing desire br br photography stunning acting first rate andwonder wondersthe tone upliftingbr br criticism not much ambiguity film two interwoven story seem intriguingly mysterious first resolve little nicely taste director point commentary dvd ingredient irwins story bedside table symbolism trifle pat mebr br lark favorite scene relocation team try get breakfast diner practically theatrical magica tour de force witty actingsubtle playful positively rhythmiccoupled striking cinematography acute eye grotesquebr br northfork funny touching gorgeous look magical reservation not one single carchasebr br easy nine star,0
watched last night first time year bad really bad enough hilariously awful moment worth watching first deliberate make boy babysat completely effeminate even say costello la mae west fascinate costello double take god know would happened babysitter hunk kid would seduced heartbeat there principal male dancer totally inept roar laughter leap prance no talent whatsoever giant grave never looked better life two romantic lead zero waste abbott get sing one line dubbed another singer geez guess couldnt even carry tune costello manage charming fear nothing number guess small child might like there not much recommend oh seductive effeminate boy aspect alone blew away plus fact family accepted anyone street no reference babysit child today little femmy boy would taken away,1
massive fan book orwell certainly favourite writer ever since studying animal farm gcse bought dvd sheer curiosity burton actor hold high regard heard played role obrien swungbr br watched trailer dvd first fear started set mostly regarding frankly terrible theme song hearing eurythmics mechanically shouting electronic beat bad soundsbr br acting whole pretty good burton hurt play role well tension exists ministry truth towards end felt especially harrowing room scene however also movie let movie spends much time focusing love affair winston julia frankly isnt orwell writing writing harrowing future ingsoc build man belief shatter name made love big brother movie skip essentially important part book winstons coming term position life world reeducation via obrienbr br comment imdb moment state movie stick book completely incorrect julia not present winston visit obrien not commit goldstiens brotherhood confess crime no obvious mention initial instance winston find article unperson get mentioned near end not read book completely confusingbr br terrible screenplay excellent acting cannot rescue michael radford seems completely missed point orwell trying make electronica sound track frankly terrible,1
saw premier movie phoenix film festival impressed skill director jeff hare exhibited bringing timely topic screen cast character meshed perfectly allowed u examine issue senior wishing die term warm humorous way peter falk brilliant morris supporting group family member friend perfectly cast role interaction family friend outsider morris created realistic view family address issue parent aging wish die dignitybr br although movie ostensibly movie jewish actor family truly movie family joke family morris crack romp life force nature fresh realistic childhood rivalry adult success failure hope child integral screenplay many question make topic suicide humorous thought treatment logical timely not afraid shed tear laugh quip family struggling issue must see moviebr br movie awarded best picture phoenix film festival,0
