review,sentiment
"Low budget, mostly no name actors. . . this is what a campy horror flick is supposed to be all about. These are the types of movies that kept me on the edge of my seat as a kid staying up too late to watch cable. If you liked the 80's horror scene this is the movie for you.",0
"""Showtime"" falls somewhere north of what some critics have been saying, and a little south of what I expected months ago when I first heard about Eddie Murphy and Robert Di Niro teaming up for a comedy. Overall, it was pretty good! As ""real life"" crime or cops go-- and plot, for that matter-- it is pretty illogical, but DUH--- this is a comedy. Also, while the special effects, chases, aerial shots, and skyscrapers blowing up were present but lower key than a Schwartzenegger movie, I found it a bit tiresome and overdone. 9/11 sensibilities aside, for myself, all that pyro-techno hyper-effect stuff had been getting really old these past few years. It seemed a lame substitute for characterization, story, and engaging emotions. I hope the lesser quantity of it in ""Showtime"" is an indicator of a trend in Hollywood. A trend downwards, of less use of the silly, less use of the exploding building.<br /><br />Di Niro and Murphy are two of my favorites. Their screen presence and charisma-- and even their character depth-- have been ""a joy to behold"" for many years. That can't be dismissed here--- they are engaging actors, and entertaining and appealing in this movie. I can't put my finger on it, but perhaps the explosions, the excessive FX, and all of that diminished the final product??? Perhaps, or perhaps it was something else, or a combination of factors that gives one the sense that the movie didn't achieve its highest potential. Whatever it was, ""Showtime"" was entertaining-- I probably will buy the DVD when it comes out-- but I had the vibe that it nonetheless wasn't all it could have been. At least not all I had hoped for.<br /><br />Very good movie, but not a great movie. I gave it an 8 out of 10.",0
"Just like all of Mel Brooks' other comedies, Men in Tights is hilarious. But in seeing this as an outrageous comedy, I think many fail to realize that the reason the movie is so funny is that the characters themselves are acted so well. Elwes is the well-spoken former British noble, Lewis is an eternally annoyed king (I hope it's worth all the NOOOOOOIIIISE!), DeLuise is a FANTASTIC godfather, Roger Rees is a worried and cynical sheriff.... The actors and actresses are so loyal to their parts that the jokes flow forth with ease. Yes, we've seen this kind of comedy before, but the only comedy to achieve better character development, in my opinion, is The Big Lebowski. Very very funny.",0
"I don't understand why this movie was released, it looked like something that you show your mates after you borrowed your mums handycam she bought in 1987. I am Australian and work for a video store in the UK and thought that if an Aussie film made it into our store it can't be all bad... boy was I wrong!<br /><br />If anyone writes a good comment about this movie they are either lying or the makers of the film.<br /><br />The picture was BAD, the sound was HORRIBLE and the acting, oh the acting, it was the WORST acting in the HISTORY OF FILM. <br /><br />It makes me embarrassed and offended that they used the word 'Aussie' in the title because I am proud to be Australian and this movie is seen in other countries and may give people the wrong idea.<br /><br />Please anyone who reads this and has seen this movie, take the time to find other Aussie movies to watch because you could choose any one of them and it would be better than that one.<br /><br />I could have made a better film if I took a camera, filmed my but for an hour, ate the film waited for it to pass through my body then threw what came out at the television... no offence.<br /><br />DO NOT WATCH THIS FILM!!!!!!!!!!",1
"Bottom-of-the-barrel stinker is so bad it's beyond funny. The ""plot"" is about an American mercenary, played by Reb Brown (in the film he's called a ""military adviser"" but it's not really clear if he's in the American military or not), helping the army of a Latin-American country fight guerrillas who winds up joining the guerrillas when the government turns on him, imprisons and tortures him. Shannon Tweed is a ""sports equipment saleswoman"" he picks up in a bar who gets caught up in all the intrigue. That description actually makes the movie sound better than it is, because it's really a stinker of almost Biblical proportions. How bad is it? Well, Shannon Tweed turns in the movie's most professional acting job. If that isn't an indication of just what a 12th-rate piece of junk this turkey is, nothing is From mismatched sound effects to a music score that sounds like it's from a 1940s ""Z""-grade horror flick (and may very well be) to the same footage (i.e., armored personnel carriers going down the same jungle trail) reused constantly to some of the most ineptly staged ""action"" scenes in recent memory, this laugh-a-minute sludgefest has to be seen to be disbelieved. Tweed looks bored, Brown looks hung over, and by the time this thing is finished--if you can last that long; I couldn't--you'll know just how they feel.<br /><br />Although there are a lot of explosions and gunfights, this can't be considered an ""action"" picture by any stretch of the imagination. It's boring (there's a scene in the back of a truck where everybody just stares at each other for three or four minutes), repetitive (the same ""rebels"" and ""soldiers"" being killed over and over), illogical (when a group of rebels is caught in an open field by a government helicopter gunship, instead of breaking for cover they just stand there staring up at it), inept (soldiers and rebels falling ""dead"" when no gunshots are heard, a gun battle inside a house where combatants standing against walls are machine-gunned but miraculously the walls escape undamaged) predictable (when the ""Governor"" says to offer a reward for Brown's capture because ""someone"" might turn him in, you know exactly who that ""someone"" will be, and it turns out to be exactly who you thought it was) and just downright stupid (pretty much everything else in the picture). Inept, brainless and stupid beyond belief. Don't waste your time.",1
"Jon Cryer reprises his role as a neurotic guy in Two and a Half Men, which he perfected in this series. He longs to have a good relationship with a girl like his coworker has developed, and the tet-a-tet between him and his partner's girlfriend's best friend are pretty funny. Then they realize that they're attracted to each other and start dating. In one of the funniest lines on TV EVER -- I think in the final episode -- he and his partner are discussing that he wants to propose to the girl. <br /><br />His partner prepares him for the moment by suggesting: ""What's the worst that can happen? She says no.""<br /><br />Armed with newfound optimism, he proposes to his date over dinner. To which she replies, <br /><br />""GOD, no!""<br /><br />I laughed so hard I cried.",0
"It's a shame this movie is rated PG 13--it is really quite suitable for anyone--though young kids might not follow it too well.<br /><br />It belongs to that wonderful genre of serio-comic ghost/angel stories that would have to include everything from Capra's ""It's A Wonderful Life"" to Wenders's ""Wings of Desire."" <br /><br />The photography is stunning, the acting first rate, and--wonder of wonders--the tone is uplifting.<br /><br />My only criticism is that there is not much ambiguity in the film. The two interwoven stories seem intriguingly mysterious at first; but they resolve themselves a little too nicely for my taste. As the director points out in his commentary on the DVD, all the ingredients of Irwin's story are on his bedside table. The symbolism is just a trifle too pat for me.<br /><br />But what a lark! My favorite scene has to be when the relocation team tries to get breakfast at a diner. This is practically theatrical in its magic--a tour de force of witty acting--subtle, playful, and positively rhythmic--coupled with striking cinematography and an acute eye for the grotesque.<br /><br />""Northfork"" is funny, touching, gorgeous to look at, magical (with the above reservations) and has not one single car-chase.<br /><br />An easy nine stars.",0
"I watched this last night for the first time in 40 years. It's bad. Really bad. But it has enough hilariously awful moments, that it's worth watching. First of all, was it deliberate to make the boy being babysat completely effeminate? He even says to Costello a la Mae West ""you fascinate me!"" as Costello does a double take. God only knows what would have have happened if the babysitter had been a hunk. THIS kid would have seduced him in a heartbeat! Then there's the principal male dancer. He is totally inept. Roar with laughter as he leaps and prances with no talent whatsoever over the giant's grave during He Never Looked Better in His Life. The two romantic leads are zeros, wastes. Abbott gets to sing one line and that was dubbed in by another singer. Geez, I guess he couldn't even carry a tune! Costello does manage to be charming in his I Fear Nothing number, and I guess very small children might like it, but there's not much to recommend it. But oh that seductive effeminate boy! THAT aspect alone blew me away! Plus the fact the family accepted anyone off the street with no references to babysit a child! Today, little femmy boy would be taken away from them!",1
"I am a massive fan of the book and Orwell is certainly my favourite writer ever since studying Animal Farm at GCSE. I bought the DVD out of sheer curiosity, Burton is an actor I hold in high regard so when I heard that he played the role of O'Brien I was swung.<br /><br />I watched the trailer on the DVD first and some fears started to set in, mostly regarding the frankly terrible ""Theme song"", hearing the Eurythmics mechanically shouting ""1984!"" over and over again to an electronic beat is as bad as it sounds.<br /><br />The acting on a whole is pretty good, Burton and Hurt play their roles well and the tension that exists in the Ministry of Truth towards the end can be felt, especially in the harrowing Room 101 scene. However this is also where the movie is let down. The movie spends too much time focusing on the Love affair between Winston and Julia, which frankly isn't what Orwell was writing about. He was writing about a harrowing future, about how Ingsoc build up a mans beliefs and then shatter them all in the name of him being made to love Big Brother. The movie skips over what is essentially the most important part of the book, Winstons coming to terms with his position in life and the world, and his re-education via O'Brien.<br /><br />The comment on IMDb at the moment states that the movie sticks to the book is completely incorrect. Julia is not present when Winston visits O'Brien, they do not commit themselves to Goldstien's Brotherhood and confess their crimes. There is no obvious mention of the initial instances where Winston finds the article with the Unpersons but it does get mentioned near the end, if you have not read the book it is completely confusing.<br /><br />A terrible screenplay, which some excellent acting cannot rescue. Michael Radford seems to have completely missed the point Orwell was trying to make, and the electronica sound track is frankly terrible.",1
"I saw the premier of this movie during the 2005 Phoenix Film Festival and was very impressed with the skill Director, Jeff Hare, exhibited in bringing this timely topic to the screen. The cast of characters meshed perfectly and allowed us to examine the issue of a senior wishing to die on ""his own terms"" in a very warm and humorous way. Peter Falk was brilliant as Morris and the supporting group of family members and friends were perfectly cast in their roles. The interaction of the family, friends and outsiders with Morris created a realistic view of how families address the issue of their parents aging and their wishes to die with dignity.<br /><br />Although this movie is ostensibly a movie about a Jewish Actor and his family, it is truly a movie about all families. The jokes the family and Morris crack during this romp through the life of a ""Force of Nature"" are fresh and realistic. Childhood rivalries, adult successes and failures, and hope for the children are integral to this screenplay. While many will question how you can make the topic of suicide ""humorous"", I thought the treatment logical and timely. If you are not afraid to shed a few tears or laugh at the quips of a family struggling with this issue, then you MUST SEE THIS MOVIE.<br /><br />The movie was awarded ""Best Picture"" at the Phoenix Film Festival.",0
